,text,true_labels,pred_labels
55,"  We give a randomized algorithm that finds a minimum cut in an undirected
weighted $m$-edge $n$-vertex graph $G$ with high probability in $O(m \log^2 n)$
time. This is the first improvement to Karger's celebrated $O(m \log^3 n)$ time
algorithm from 1996. Our main technical contribution is a deterministic $O(m
\log n)$ time algorithm that, given a spanning tree $T$ of $G$, finds a minimum
cut of $G$ that 2-respects (cuts two edges of) $T$.
",1,6
56,"  We propose a hash function based on arithmetic coding and public-key
cryptography. The resistance of the hash function to second preimage attack,
collision and differential cryptanalysis is based on the properties of
arithmetic coding as a non-linear dynamical system. The resistance of the hash
function to first preimage attack is based on the public-key cryptography. The
new hash function uses the strength of HMAC with the difference that it didn't
need a secret key for calculating the hash (in this step, it uses one, two or
three public -keys) and in the classical attack, an adversary need to break the
public key algorithm or to have all the secret keys to perform his attack.
",2,3
57,"  This paper explores the problem of ranking short social media posts with
respect to user queries using neural networks. Instead of starting with a
complex architecture, we proceed from the bottom up and examine the
effectiveness of a simple, word-level Siamese architecture augmented with
attention-based mechanisms for capturing semantic ""soft"" matches between query
and post tokens. Extensive experiments on datasets from the TREC Microblog
Tracks show that our simple models not only achieve better effectiveness than
existing approaches that are far more complex or exploit a more diverse set of
relevance signals, but are also much faster. Implementations of our samCNN
(Simple Attention-based Matching CNN) models are shared with the community to
support future work.
",4,6
58,"  Standard approaches in entity identification hard-code boundary detection and
type prediction into labels (e.g., John/B-PER Smith/I-PER) and then perform
Viterbi. This has two disadvantages: 1. the runtime complexity grows
quadratically in the number of types, and 2. there is no natural segment-level
representation. In this paper, we propose a novel neural architecture that
addresses these disadvantages. We frame the problem as multitasking, separating
boundary detection and type prediction but optimizing them jointly. Despite its
simplicity, this architecture performs competitively with fully structured
models such as BiLSTM-CRFs while scaling linearly in the number of types.
Furthermore, by construction, the model induces type-disambiguating embeddings
of predicted mentions.
",2,3
59,"  Vehicle-to-infrastructure (V2I) communication may provide high data rates to
vehicles via millimeter-wave (mmWave) microcellular networks. This paper uses
stochastic geometry to analyze the coverage of urban mmWave microcellular
networks. Prior work used a pathloss model with a line-of-sight probability
function based on randomly oriented buildings, to determine whether a link was
line-of-sight or non-line-of-sight. In this paper, we use a pathloss model
inspired by measurements, which uses a Manhattan distance pathloss model and
accounts for differences in pathloss exponents and losses when turning corners.
In our model, streets are randomly located as a Manhattan Poisson line process
(MPLP) and the base stations (BSs) are distributed according to a Poisson point
process. Our model is well suited for urban microcellular networks where the
BSs are deployed at street level. Based on this new approach, we derive the
coverage probability under certain BS association rules to obtain closed-form
solutions without much complexity. In addition, we draw two main conclusions
from our work. First, non-line-of-sight BSs are not a major benefit for
association or source of interference most of the time. Second, there is an
ultra-dense regime where deploying active BSs does not enhance coverage.
",1,6
60,"  We show that for every fixed undirected graph $H$, there is a $O(|V(G)|^3)$
time algorithm that tests, given a graph $G$, if $G$ contains $H$ as a
topological subgraph (that is, a subdivision of $H$ is subgraph of $G$). This
shows that topological subgraph testing is fixed-parameter tractable, resolving
a longstanding open question of Downey and Fellows from 1992. As a corollary,
for every $H$ we obtain an $O(|V(G)|^3)$ time algorithm that tests if there is
an immersion of $H$ into a given graph $G$. This answers another open question
raised by Downey and Fellows in 1992.
",6,5
61,"  Edit distance is a fundamental measure of distance between strings and has
been widely studied in computer science. While the problem of estimating edit
distance has been studied extensively, the equally important question of
actually producing an alignment (i.e., the sequence of edits) has received far
less attention. Somewhat surprisingly, we show that any algorithm to estimate
edit distance can be used in a black-box fashion to produce an approximate
alignment of strings, with modest loss in approximation factor and small loss
in run time. Plugging in the result of Andoni, Krauthgamer, and Onak, we obtain
an alignment that is a $(\log n)^{O(1/\varepsilon^2)}$ approximation in time
$\tilde{O}(n^{1 + \varepsilon})$.
  Closely related to the study of approximation algorithms is the study of
metric embeddings for edit distance. We show that min-hash techniques can be
useful in designing edit distance embeddings through three results: (1) An
embedding from Ulam distance (edit distance over permutations) to Hamming space
that matches the best known distortion of $O(\log n)$ and also implicitly
encodes a sequence of edits between the strings; (2) In the case where the edit
distance between the input strings is known to have an upper bound $K$, we show
that embeddings of edit distance into Hamming space with distortion $f(n)$ can
be modified in a black-box fashion to give distortion
$O(f(\operatorname{poly}(K)))$ for a class of periodic-free strings; (3) A
randomized dimension-reduction map with contraction $c$ and asymptotically
optimal expected distortion $O(c)$, improving on the previous $\tilde{O}(c^{1 +
2 / \log \log \log n})$ distortion result of Batu, Ergun, and Sahinalp.
",6,2
62,"  The popularity of distance education programs is increasing at a fast pace.
En par with this development, online communication in fora, social media and
reviewing platforms between students is increasing as well. Exploiting this
information to support fellow students or institutions requires to extract the
relevant opinions in order to automatically generate reports providing an
overview of pros and cons of different distance education programs. We report
on an experiment involving distance education experts with the goal to develop
a dataset of reviews annotated with relevant categories and aspects in each
category discussed in the specific review together with an indication of the
sentiment.
  Based on this experiment, we present an approach to extract general
categories and specific aspects under discussion in a review together with
their sentiment. We frame this task as a multi-label hierarchical text
classification problem and empirically investigate the performance of different
classification architectures to couple the prediction of a category with the
prediction of particular aspects in this category. We evaluate different
architectures and show that a hierarchical approach leads to superior results
in comparison to a flat model which makes decisions independently.
",1,0
63,"  This extended abstract reports on current progress of SMTCoq, a communication
tool between the Coq proof assistant and external SAT and SMT solvers. Based on
a checker for generic first-order certificates implemented and proved correct
in Coq, SMTCoq offers facilities both to check external SAT and SMT answers and
to improve Coq's automation using such solvers, in a safe way. Currently
supporting the SAT solver zChaff, and the SMT solver veriT for the combination
of the theories of congruence closure and linear integer arithmetic, SMTCoq is
meant to be extendable with a reasonable amount of effort: we present work in
progress to support the SMT solver CVC4 and the theory of bit vectors.
",2,6
64,"  VoIP (Voice over Internet Protocol) is a growing technology during last
decade. It provides the audio, video streaming facility on successful
implementation in the network. However, it provides the text transport facility
over the network. Due to implementation of it the cost effective solution, it
can be developed for the intercommunication among the employees of a
prestigious organization. The proposed idea has been implemented on the audio
streaming area of the VoIP technology. In the audio streaming, the security
vulnerabilities are possible on the VoIP server during communication between
two parties. In the proposed model, first the VoIP system has been implemented
with IVR (Interactive Voice Response) as a case study and with the
implementation of the security parameters provided to the asterisk server which
works as a VoIP service provider. The asterisk server has been configured with
different security parameters like VPN server, Firewall iptable rules,
Intrusion Detection and Intrusion Prevention System. Every parameter will be
monitored by the system administrator of the VoIP server along with the MySQL
database. The system admin will get every update related to the attacks on the
server through Mail server attached to the asterisk server. The main beauty of
the proposed system is VoIP server alone is configured as a VoIP server, IVR
provider, Mail Server with IDS and IPS, VPN server, connection with database
server in a single asterisk server inside virtualization environment. The VoIP
system is implemented for a Local Area Network inside the university system
",2,1
65,"  In this paper we have proposed clock error mitigation from the measurements
in the scheduled based self localization system. We propose measurement model
with clock errors while following a scheduled transmission among anchor nodes.
Further, RLS algorithm is proposed to estimate clock error and to calibrate
measurements of self localizing node against relative clock errors of anchor
nodes. A full-scale experimental validation is provided based on commercial
off-the-shelf UWB radios under IEEE-standardized protocols.
",6,0
66,"  Mental health research can benefit increasingly fruitfully from computational
linguistics methods, given the abundant availability of language data in the
internet and advances of computational tools. This interdisciplinary project
will collect and analyse social media data of individuals diagnosed with
bipolar disorder with regard to their recovery experiences. Personal recovery -
living a satisfying and contributing life along symptoms of severe mental
health issues - so far has only been investigated qualitatively with structured
interviews and quantitatively with standardised questionnaires with mainly
English-speaking participants in Western countries. Complementary to this
evidence, computational linguistic methods allow us to analyse first-person
accounts shared online in large quantities, representing unstructured settings
and a more heterogeneous, multilingual population, to draw a more complete
picture of the aspects and mechanisms of personal recovery in bipolar disorder.
",1,5
67,"  One of the key problems in migrating multi-component enterprise applications
to Clouds is selecting the best mix of VM images and Cloud infrastructure
services. A migration process has to ensure that Quality of Service (QoS)
requirements are met, while satisfying conflicting selection criteria, e.g.
throughput and cost. When selecting Cloud services, application engineers must
consider heterogeneous sets of criteria and complex dependencies across
multiple layers impossible to resolve manually. To overcome this challenge, we
present the generic recommender framework CloudGenius and an implementation
that leverage well known multi-criteria decision making technique Analytic
Hierarchy Process to automate the selection process based on a model, factors,
and QoS requirements related to enterprise applications. In particular, we
introduce a structured migration process for multi-component enterprise
applications, clearly identify the most important criteria relevant to the
selection problem and present a multi-criteria-based selection algorithm.
Experiments with the software prototype CumulusGenius show time complexities.
",4,6
68,"  This paper presents a self-organizing protocol for dynamic (unstructured P2P)
overlay networks, which allows to react to the variability of node arrivals and
departures. Through local interactions, the protocol avoids that the departure
of nodes causes a partitioning of the overlay. We show that it is sufficient to
have knowledge about 1st and 2nd neighbours, plus a simple interaction P2P
protocol, to make unstructured networks resilient to node faults. A simulation
assessment over different kinds of overlay networks demonstrates the viability
of the proposal.
",1,5
69,"  It is customary to assess the reliability of underground oil and gas
pipelines in the presence of excessive loading and corrosion effects to ensure
a leak-free transport of hazardous materials. The main idea behind this
reliability analysis is to model the given pipeline system as a Reliability
Block Diagram (RBD) of segments such that the reliability of an individual
pipeline segment can be represented by a random variable. Traditionally,
computer simulation is used to perform this reliability analysis but it
provides approximate results and requires an enormous amount of CPU time for
attaining reasonable estimates. Due to its approximate nature, simulation is
not very suitable for analyzing safety-critical systems like oil and gas
pipelines, where even minor analysis flaws may result in catastrophic
consequences. As an accurate alternative, we propose to use a
higher-order-logic theorem prover (HOL) for the reliability analysis of
pipelines. As a first step towards this idea, this paper provides a
higher-order-logic formalization of reliability and the series RBD using the
HOL theorem prover. For illustration, we present the formal analysis of a
simple pipeline that can be modeled as a series RBD of segments with
exponentially distributed failure times.
",1,2
70,"  We consider the problem of choosing Euclidean points to maximize the sum of
their weighted pairwise distances, when each point is constrained to a ball
centered at the origin. We derive a dual minimization problem and show strong
duality holds (i.e., the resulting upper bound is tight) when some locally
optimal configuration of points is affinely independent. We sketch a polynomial
time algorithm for finding a near-optimal set of points.
",2,5
71,"  Text-based password schemes have inherent security and usability problems,
leading to the development of graphical password schemes. However, most of
these alternate schemes are vulnerable to spyware attacks. We propose a new
scheme, using CAPTCHA (Completely Automated Public Turing tests to tell
Computers and Humans Apart) that retaining the advantages of graphical password
schemes, while simultaneously raising the cost of adversaries by orders of
magnitude. Furthermore, some primary experiments are conducted and the results
indicate that the usability should be improved in the future work.
",2,3
72,"  The recently created IETF 6TiSCH working group combines the high reliability
and low-energy consumption of IEEE 802.15.4e Time Slotted Channel Hopping with
IPv6 for industrial Internet of Things. We propose a distributed link
scheduling algorithm, called Local Voting, for 6TiSCH networks that adapts the
schedule to the network conditions. The algorithm tries to equalize the link
load (defined as the ratio of the queue length over the number of allocated
cells) through cell reallocation. Local Voting calculates the number of cells
to be added or released by the 6TiSCH Operation Sublayer (6top). Compared to a
representative algorithm from the literature, Local Voting provides
simultaneously high reliability and low end-to-end latency while consuming
significantly less energy. Its performance has been examined and compared to
On-the-fly algorithm in 6TiSCH simulator by modeling an industrial environment
with 50 sensors.
",2,3
73,"  The Network Simulator (NS-2) is a most widely used network simulator. It has
the capabilities to simulate a range of networks including wired and wireless
networks. In this tutorial, we present the implementation of Ad Hoc On-Demand
Distance Vector (AODV) Protocol in NS-2. This tutorial is targeted to the
novice user who wants to understand the implementation of AODV Protocol in
NS-2.
",3,2
74,"  We consider a multiple depot, multiple vehicle routing problem with fuel
constraints. We are given a set of targets, a set of depots and a set of
homogeneous vehicles, one for each depot. The depots are also allowed to act as
refueling stations. The vehicles are allowed to refuel at any depot, and our
objective is to determine a route for each vehicle with a minimum total cost
such that each target is visited at least once by some vehicle, and the
vehicles never run out fuel as it traverses its route. We refer this problem as
Multiple Depot, Fuel-Constrained, Multiple Vehicle Routing Problem (FCMVRP).
This paper presents four new mixed integer linear programming formulations to
compute an optimal solution for the problem. Extensive computational results
for a large set of instances are also presented.
",1,2
75,"  The process of knowledge acquisition can be viewed as a question-answer game
between a student and a teacher in which the student typically starts by asking
broad, open-ended questions before drilling down into specifics (Hintikka,
1981; Hakkarainen and Sintonen, 2002). This pedagogical perspective motivates a
new way of representing documents. In this paper, we present SQUASH
(Specificity-controlled Question-Answer Hierarchies), a novel and challenging
text generation task that converts an input document into a hierarchy of
question-answer pairs. Users can click on high-level questions (e.g., ""Why did
Frodo leave the Fellowship?"") to reveal related but more specific questions
(e.g., ""Who did Frodo leave with?""). Using a question taxonomy loosely based on
Lehnert (1978), we classify questions in existing reading comprehension
datasets as either ""general"" or ""specific"". We then use these labels as input
to a pipelined system centered around a conditional neural language model. We
extensively evaluate the quality of the generated QA hierarchies through
crowdsourced experiments and report strong empirical results.
",1,6
76,"  We first explain the notion of secret sharing and also threshold schemes,
which can be implemented with the Shamir's secret sharing. Subsequently, we
review social secret sharing (NSG'10,NS'10) and its trust function. In a secret
sharing scheme, a secret is shared among a group of players who can later
recover the secret. We review the construction of a social secret sharing
scheme and its application for resource management in cloud, as explained in
NS'12. To clarify the social secret sharing scheme, we first review its trust
function according to NL'06. In this scheme, a secret is maintained by
assigning a trust value to each player based on his behavior, i.e.,
availability.
",5,2
77,"  We investigate the use of hierarchical phrase-based SMT lattices in
end-to-end neural machine translation (NMT). Weight pushing transforms the
Hiero scores for complete translation hypotheses, with the full translation
grammar score and full n-gram language model score, into posteriors compatible
with NMT predictive probabilities. With a slightly modified NMT beam-search
decoder we find gains over both Hiero and NMT decoding alone, with practical
advantages in extending NMT to very large input and output vocabularies.
",5,2
78,"  Model checking is a widespread automatic formal analysis that has been
successful in discovering flaws in security protocols. However existing
possibilities for state space explosion still hinder analyses of complex
protocols and protocol configurations. Message Inspection, is a technique that
delimits the branching of the state space due to the intruder model without
excluding possible attacks. In a preliminary simulation, the intruder model
tags the eavesdropped messages with specific metadata that enable validation of
feasibility of possible attack actions. The Message Inspection algorithm then
decides based on these metadata, which attacks will certainly fail according to
known security principles. Thus, it is a priori known that i.e. an encryption
scheme attack cannot succeed if the intruder does not posses the right key in
his knowledge. The simulation terminates with a report of the attack actions
that can be safely removed, resulting in a model with a reduced state space.
",5,1
79,"  We consider the language of $\Delta_0$-formulas with list terms interpreted
over hereditarily finite list superstructures. We study the complexity of
reasoning in extensions of the language of $\Delta_0$-formulas with
non-standard list terms, which represent bounded list search, bounded
iteration, and bounded recursion. We prove a number of results on the
complexity of model checking and satisfiability for these formulas. In
particular, we show that the set of $\Delta_0$-formulas with bounded recursive
terms true in a given list superstructure $HW(\mathcal{M})$ is non-elementary
(it contains the class kEXPTIME, for all $k\geqslant 1$). For
$\Delta_0$-formulas with restrictions on the usage of iterative and recursive
terms, we show lower complexity.
",1,6
80,"  Maximizing satisfaction from offering features as part of the upcoming
release(s) is different from minimizing dissatisfaction gained from not
offering features. This asymmetric behavior has never been utilized for product
release planning. We study Asymmetric Release Planning (ARP) by accommodating
asymmetric feature evaluation. We formulated and solved ARP as a bi-criteria
optimization problem. In its essence, it is the search for optimized trade-offs
between maximum stakeholder satisfaction and minimum dissatisfaction. Different
techniques including a continuous variant of Kano analysis are available to
predict the impact on satisfaction and dissatisfaction with a product release
from offering or not offering a feature. As a proof of concept, we validated
the proposed solution approach called Satisfaction-Dissatisfaction Optimizer
(SDO) via a real-world case study project. From running three replications with
varying effort capacities, we demonstrate that SDO generates optimized
trade-off solutions being (i) of a different value profile and different
structure, (ii) superior to the application of random search and heuristics in
terms of quality and completeness, and (iii) superior to the usage of manually
generated solutions generated from managers of the case study company. A survey
with 20 stakeholders evaluated the applicability and usefulness of the
generated results.
",1,5
81,"  Serialized messages are processed at the server and sent as objects over the
network to the client to be consumed.
",2,3
82,"  The enormous success of advanced wireless devices is pushing the demand for
higher wireless data rates. Denser spectrum reuse through the deployment of
more access points per square mile has the potential to successfully meet the
increasing demand for more bandwidth. In theory, the best approach to density
increase is via distributed multiuser MIMO, where several access points are
connected to a central server and operate as a large distributed multi-antenna
access point, ensuring that all transmitted signal power serves the purpose of
data transmission, rather than creating ""interference."" In practice, while
enterprise networks offer a natural setup in which distributed MIMO might be
possible, there are serious implementation difficulties, the primary one being
the need to eliminate phase and timing offsets between the jointly coordinated
access points.
  In this paper we propose AirSync, a novel scheme which provides not only time
but also phase synchronization, thus enabling distributed MIMO with full
spatial multiplexing gains. AirSync locks the phase of all access points using
a common reference broadcasted over the air in conjunction with a Kalman filter
which closely tracks the phase drift. We have implemented AirSync as a digital
circuit in the FPGA of the WARP radio platform. Our experimental testbed,
comprised of two access points and two clients, shows that AirSync is able to
achieve phase synchronization within a few degrees, and allows the system to
nearly achieve the theoretical optimal multiplexing gain. We also discuss MAC
and higher layer aspects of a practical deployment. To the best of our
knowledge, AirSync offers the first ever realization of the full multiuser MIMO
gain, namely the ability to increase the number of wireless clients linearly
with the number of jointly coordinated access points, without reducing the per
client rate.
",6,2
83,"  This paper aims to discuss the pilot study and analysis of the current
development and measurement practices in Jordanian small software firms. It is
conducted because most developers build web applications without using any
specific development method and don't know how to integrate the suitable
measurements inside the process to improve and reduce defect, time and rework
of the development life cycle. Furthermore the objectives of this pilot study
are firstly; determine the real characteristics of small software firms in
Jordan. Secondly, investigate the current development and measurement
practices. Thirdly, examine the need of new development methodology for
building web application in small software firms. Consequently, Pilot survey
was conducted in Jordanian small software firms. Descriptive statistics
analysis was used to rank the development and measurements methods according to
their importance. This paper presents the data, analysis and finding based on
pilot survey. These actual findings of this survey will contribute to build new
methodology for developing web applications in small software firms taking to
account how to integrate the suitable measurement program to the whole
development process and also will provide useful information to those who are
doing research in the same area.
",3,4
84,"  Crowdtesting has grown to be an effective alter-native to traditional
testing, especially in mobile apps. However,crowdtesting is hard to manage in
nature. Given the complexity of mobile applications and unpredictability of
distributed, parallel crowdtesting process, it is difficult to estimate (a) the
remaining number of bugs as yet undetected or (b) the required cost to find
those bugs. Experience-based decisions may result in ineffective crowdtesting
process.
  This paper aims at exploring automated decision support to effectively manage
crowdtesting process. The proposed ISENSE applies incremental sampling
technique to process crowdtesting reports arriving in chronological order,
organizes them into fixed-size groups as dynamic inputs, and predicts two test
completion indicators in an incrementally manner. The two indicators are:
1)total number of bugs predicted with Capture-ReCapture (CRC)model, and 2)
required test cost for achieving certain test objectives predicted with
AutoRegressive Integrated Moving Average(ARIMA) model. We assess ISENSE using
46,434 reports of 218 crowdtesting tasks from one of the largest crowdtesting
platforms in China. Its effectiveness is demonstrated through two applications
for automating crowdtesting management, i.e. automation oftask closing
decision, and semi-automation of task closing trade-off analysis. The results
show that decision automation using ISENSE will provide managers with greater
opportunities to achieve cost-effectiveness gains of crowdtesting.
Specifically, a median of 100% bugs can be detected with 30% saved cost basedon
the automated close prediction
",1,5
85,"  In Europe and North America, the most widely used stream cipher to ensure
privacy and confidentiality of conversations in GSM mobile phones is the A5/1.
In this paper, we present a new attack on the A5/1 stream cipher with an
average time complexity of 2^(48.5), which is much less than the brute-force
attack with a complexity of 2^(64). The attack has a 100% success rate and
requires about 5.65GB storage. We provide a detailed description of our new
attack along with its implementation and results.
",2,1
86,"  Cloud computing datacenters provide thousands to millions of virtual machines
(VMs) on-demand in highly dynamic environments, requiring quick placement of
requested VMs into available physical machines (PMs). Due to the randomness of
customer requests, the Virtual Machine Placement (VMP) should be formulated as
an online optimization problem.
  The first part of this work analyzes alternatives to solve the formulated
problem, an experimental comparison of five different online deterministic
heuristics against an offline memetic algorithm with migration of VMs was
performed, considering several experimental workloads. Simulations indicate
that First-Fit Decreasing algorithm (A4) outperforms other evaluated heuristics
on average.
  This work presents a two-phase schema formulation of a VMP problem
considering the optimization of three objective functions in an IaaS
environment with elasticity and overbooking capabilities. The two-phase schema
formulation describes that the allocation of the VMs can be separated into two
sub-problems, the incremental allocation (iVMP) and the reconfiguration of a
placement (VMPr).
  To analyze alternatives to solve the formulated problem, an experimental
comparison of three different objective function scalarization methods as part
of the iVMP and VMPr was performed considering several experimental workloads.
Simulations indicate that the Euclidean distance to origin outperforms other
evaluated scalarization methods on average.
  In order to portray the dynamic nature of an IaaS environment a customizable
workload trace generator was developed to simulate uncertainty in the scenarios
with elasticity and overbooking of resources in VM requests.
  Experimental results proved that the Euclidean distance is preferable over
the other scalarizatiom methods to improve the values of the power consumption
objective function.
",1,6
87,"  Similarity search is a core component in various applications such as image
matching, product recommendation and low-shot classification. However, single
machine solutions are usually insufficient due to the large cardinality of
modern datasets and stringent latency requirement of on-line query processing.
We present Pyramid, a general and efficient framework for distributed
similarity search. Pyramid supports search with popular similarity functions
including Euclidean distance, angular distance and inner product. Different
from existing distributed solutions that are based on KD-tree or locality
sensitive hashing (LSH), Pyramid is based on Hierarchical Navigable Small World
graph (HNSW), which is the state of the art similarity search algorithm on a
single machine. To achieve high query processing throughput, Pyramid partitions
a dataset into sub-datasets containing similar items for index building and
assigns a query to only some of the sub-datasets for query processing. To
provide the robustness required by production deployment, Pyramid also supports
failure recovery and straggler mitigation. Pyramid offers a set of concise API
such that users can easily use Pyramid without knowing the details of
distributed execution. Experiments on large-scale datasets show that Pyramid
produces quality results for similarity search, achieves high query processing
throughput and is robust under node failure and straggler.
",1,4
88,"  This paper introduces a new method of Blockchain formation for reliable
storage of personal data of ID-card holders. In particular, the model of the
information system is presented, the new structure of smart ID-cards and
information on these cards are proposed. The new structure of Blockchain -
""Blockchain Tree"" allows not only to store information from ID-cards but also
to increase the level of security and access control to this information. The
proposed Subchains system allows to integrate Blockchain of the lower level to
Blockchain of the higher level, allowing to create a multilevel protected
system.
",6,0
89,"  Traditional control environments connected to physical systems are being
upgraded with novel information and communication technologies. The resulting
systems need to be adequately protected. Experimental testbeds are crucial for
the study and analysis of ongoing threats against those resulting
cyber-physical systems. The research presented in this paper discusses some
actions towards the development of a replicable and affordable cyber-physical
testbed for training and research. The architecture of the testbed is based on
real-world components, and emulates cyber-physical scenarios commanded by SCADA
(Supervisory Control And Data Acquisition) technologies. We focus on two
representative protocols, Modbus and DNP3. The paper reports as well the
development of some adversarial scenarios, in order to evaluate the testbed
under cyber-physical threat situations. Some detection strategies are evaluated
using our proposed testbed.
",6,5
90,"  This work studies the problem of GPU thread mapping for a Sierpi\'nski gasket
fractal embedded in a discrete Euclidean space of $n \times n$. A block-space
map $\lambda: \mathbb{Z}_{\mathbb{E}}^{2} \mapsto \mathbb{Z}_{\mathbb{F}}^{2}$
is proposed, from Euclidean parallel space $\mathbb{E}$ to embedded fractal
space $\mathbb{F}$, that maps in $\mathcal{O}(\log_2 \log_2(n))$ time and uses
no more than $\mathcal{O}(n^\mathbb{H})$ threads with $\mathbb{H} \approx
1.58...$ being the Hausdorff dimension, making it parallel space efficient.
When compared to a bounding-box map, $\lambda(\omega)$ offers a sub-exponential
improvement in parallel space and a monotonically increasing speedup once $n >
n_0$. Experimental performance tests show that in practice $\lambda(\omega)$
can produce performance improvement at any block-size once $n > n_0 = 2^8$,
reaching approximately $10\times$ of speedup for $n=2^{16}$ under optimal block
configurations.
",1,4
91,"  We provide a closed form upper bound formulation for the average
pairwise-error probability (PEP) of selective decode and forward (SDF)
cooperation protocol for a keyhole (pinhole) channel condition. We have
employed orthogonal space-time block-code scheme (OSTBC) in conjunction with
multi-antenna (MIMO) technology. We have used moment generating function (MGF)
based approach for deriving the upper bound of PEP. PEP expression provides
information regarding the performance of the wireless system with respect to
the channel conditions. We have included simulation results which confirm the
analytical results of our proposed upper bound. Simulation results show that
due to keyhole effect performance of wireless system degrades.
",3,5
92,"  Now a day ad hoc mobile networks (MANETs) have lots of routing protocols, but
no one can meet maximum performance. Some are good in a small network; some are
suitable in large networks, and some give better performance in location or
global networks. Today modern and innovative applications for health care
environments based on a wireless network are being developed in the commercial
sectors. The emerging wireless networks are rapidly becoming a fundamental part
of every single field of life. Our proposed DEERP framework gives a better
performance as compared to other routing protocol.
",2,5
93,"  The flexible flow shop scheduling problem is an NP-hard problem and it
requires significant resolution time to find optimal or even adequate solutions
when dealing with large size instances. Thus, this paper proposes a dual island
genetic algorithm consisting of a parallel cellular model and a parallel pseudo
model. This is a two-level parallelization highly consistent with the
underlying architecture and is well suited for parallelizing inside or between
GPUs and a multi-core CPU. At the higher level, the efficiency of island GAs is
improved by exploring new regions within the search space utilizing different
methods. In the meantime, the cellular model keeps the population diversity by
decentralization and the pseudo model enhances the search ability by the
complementary parent strategy at the lower level. To encourage the information
sharing between islands, a penetration inspired migration policy is designed
which sets the topology, the rate, the interval and the strategy adaptively.
Finally, the proposed method is tested on some large size flexible flow shop
scheduling instances in comparison with other parallel algorithms. The
computational results show that it cannot only obtain competitive results but
also reduces execution time.
",1,5
94,"  In this paper, we investigate the code-switching detection performance of a
code-switching (CS) automatic speech recognition (ASR) system with
data-augmented acoustic and language models. We focus on the recognition of
Frisian-Dutch radio broadcasts where one of the mixed languages, namely
Frisian, is under-resourced. Recently, we have explored how the acoustic
modeling (AM) can benefit from monolingual speech data belonging to the
high-resourced mixed language. For this purpose, we have trained
state-of-the-art AMs on a significantly increased amount of CS speech by
applying automatic transcription and monolingual Dutch speech. Moreover, we
have improved the language model (LM) by creating CS text in various ways
including text generation using recurrent LMs trained on existing CS text.
Motivated by the significantly improved CS ASR performance, we delve into the
CS detection performance of the same ASR system in this work by reporting CS
detection accuracies together with a detailed detection error analysis.
",1,5
95,"  We give a strongly polynomial time algorithm which determines whether or not
a bivariate polynomial is real stable. As a corollary, this implies an
algorithm for testing whether a given linear transformation on univariate
polynomials preserves real-rootedness. The proof exploits properties of
hyperbolic polynomials to reduce real stability testing to testing
nonnegativity of a finite number of polynomials on an interval.
",5,4
96,"  A minimum path cover (MPC) of a directed acyclic graph (DAG) G = (V,E) is a
minimum-size set of paths that together cover all the vertices of the DAG. The
size k of a MPC is also called the width of G. Computing a MPC is a basic
problem, dating back to Dilworth's and Fulkerson's results in the 1950s, and is
solvable in quadratic time in the worst case. Since the width of the DAG can be
small in practical applications (e.g., from bioinformatics), research has also
studied algorithms whose complexity is parameterized on k. Despite these
efforts, it is a major open problem whether there exists a linear-time
$O(f(k)(|E| + |V|))$ parameterized algorithm. We present here two significant
results in this direction.
  First, we obtain an $O(|E| + k^2|V|\log{|V|})$-time algorithm, which in
particular is faster than all existing MPC algorithms when $k =
o(\sqrt{|V|}/\log{|V|})$ and $|E| = \omega(k|V|)$ but $|E| = o(|V|^2)$. We
obtain this by a new combination of three techniques: transitive edge
sparsification, divide-and-conquer, and shrinking. This algorithm is also
simple and can be parallelized, making it ideal for practical use. We also show
that some basic problems on DAGs (reachability queries, longest increasing /
common subsequence, co-linear chaining) get faster algorithms as immediate
corollaries of this result.
  Second, we obtain an $O(poly(k)(2^k|E| + 4^k|V|))$-time algorithm for the
dual problem of computing the width of the DAG. This is based on the notion of
frontier antichains, generalizing the standard notion of right-most maximum
antichain. As we process the vertices in a topological order, these at most
$2^k$ frontier antichains can be maintained with the help of several
combinatorial properties. As such, it is enough to sweep the graph once from
left to right, paying only f(k) along the way, which is a new surprising
insight into the classical MPC problem.
",1,6
